,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
418,554498737,JChatman18,en,Sun Apr 15 17:16:06 +0000 2012,,1167,782,7578
419,310114960,PattiEide,en,Fri Jun 03 06:42:36 +0000 2011,Pacific Time (US & Canada),1495,1988,7125
421,51307978,alegooner,en,Sat Jun 27 01:47:39 +0000 2009,Eastern Time (US & Canada),909,1057,10135
427,362212601,TheWomenHumor,en,Fri Aug 26 01:19:36 +0000 2011,Amsterdam,34973,21115,8849
429,68200706,laura2869,en,Sun Aug 23 18:14:54 +0000 2009,Bogota,461,1416,4693
435,51592435,justCall_meERI,en,Sat Jun 27 23:40:24 +0000 2009,Central Time (US & Canada),345,388,22085
437,20214495,TED_TALKS,en,Fri Feb 06 03:28:07 +0000 2009,Pacific Time (US & Canada),768802,50549,1796
440,463047822,GreenKnight2010,en,Fri Jan 13 17:22:29 +0000 2012,,944,1244,4075
443,2989300223,FREiZTunes,en,Wed Jan 21 08:39:25 +0000 2015,,1084,1563,3717
458,487653439,Harveyholics,en,Thu Feb 09 16:05:10 +0000 2012,Eastern Time (US & Canada),14040,13599,73138
470,557449649,truthmashup,en,Thu Apr 19 05:29:22 +0000 2012,,2247,1868,26348
477,90665991,jonmbauer,en,Tue Nov 17 16:41:09 +0000 2009,Central Time (US & Canada),6906,6160,1115
480,2510731736,DotChasers,en,Tue May 20 15:45:31 +0000 2014,London,10717,10261,4877
501,16943688,charlieisaacs,en,Fri Oct 24 04:51:27 +0000 2008,Pacific Time (US & Canada),25108,24802,65789
508,117495450,sportsmockery,en,Thu Feb 25 18:57:13 +0000 2010,Central Time (US & Canada),35482,36599,40269
517,80262585,GreatGazoo007,en,Tue Oct 06 09:41:48 +0000 2009,Eastern Time (US & Canada),7083,6068,20004
523,85109795,hasan_hamam,en,Sun Oct 25 16:10:19 +0000 2009,Pacific Time (US & Canada),459,536,5164
532,35563232,isexton,en,Sun Apr 26 20:59:07 +0000 2009,Eastern Time (US & Canada),324820,268189,3853
533,2413631583,chantel_mara,en,Sat Mar 15 21:03:21 +0000 2014,,116,50,309
538,1412168383,htvpk,en,Wed May 08 06:51:37 +0000 2013,Islamabad,23719,15747,4964
549,263535994,waxzdol,en,Thu Mar 10 06:47:38 +0000 2011,Kuala Lumpur,491,783,70528
