,id,screen_name,lang,created_at,time_zone,followers_count,friends_count,statuses_count
16939,3438605985,dbrown19827,en,Tue Aug 25 00:46:44 +0000 2015,,59,462,11
17029,1692941995,PatriciaLangha1,en,Fri Aug 23 05:03:17 +0000 2013,,13,111,75
17152,778802467,nikirowly,en,Fri Aug 24 19:11:32 +0000 2012,Eastern Time (US & Canada),247,326,1687
17179,492957954,paramsri,en,Wed Feb 15 09:17:03 +0000 2012,,261,1004,219
17211,3182035842,3rdWaveCollab,en,Fri May 01 19:39:34 +0000 2015,Central Time (US & Canada),37,195,49
17253,1422133357,Gianna9101178,en,Sun May 12 03:12:57 +0000 2013,,88,524,1707
17276,2911031334,k_manglam,en,Wed Nov 26 15:39:46 +0000 2014,,16,172,6
17303,722022206,kasim_raj,en,Sat Jul 28 11:41:06 +0000 2012,,291,1998,1556
17550,2838729183,ElectDemS14,en,Mon Oct 20 23:54:12 +0000 2014,Central Time (US & Canada),68,405,108
17685,3430947159,HonoluluRedhead,en,Wed Aug 19 05:00:21 +0000 2015,Pacific Time (US & Canada),148,952,72
17768,233918326,aakashsane,en,Tue Jan 04 12:27:35 +0000 2011,Chennai,38,67,44
17837,2991237634,rhscollegeandca,en,Thu Jan 22 02:40:41 +0000 2015,,159,229,242
18085,37564255,wpnick,en,Mon May 04 01:54:18 +0000 2009,Central Time (US & Canada),12735,114,1901
18150,3162780302,eknath_pagar,en,Sat Apr 18 16:20:57 +0000 2015,,31,184,33
18154,359529466,Amrbibars,en,Sun Aug 21 19:00:31 +0000 2011,Abu Dhabi,151,295,31
18300,3428266942,MF_Biron,en,Mon Aug 17 14:34:29 +0000 2015,,66,805,298
18439,3318026503,sonyabajaj12,en,Mon Aug 17 17:49:36 +0000 2015,,61,247,152
18482,3408665992,FRSCanada,en,Sat Aug 08 13:21:30 +0000 2015,Newfoundland,246,1283,86
18586,3142706075,SpencerTurbin,en,Tue Apr 07 04:26:58 +0000 2015,,140,241,160
18618,2522670427,EvelynHerreraAv,en,Sun May 25 12:49:05 +0000 2014,Pacific Time (US & Canada),80,529,235
18671,335400260,eramitgee,en,Thu Jul 14 16:41:16 +0000 2011,,24,118,69
18883,183023861,JudithBruess,en,Wed Aug 25 23:54:10 +0000 2010,,49,211,346
19302,880223611,rbear12,en,Sun Oct 14 14:12:19 +0000 2012,,80,177,189
19317,253939218,camillaley,en,Fri Feb 18 08:29:13 +0000 2011,Copenhagen,1317,1529,2759
19492,127068057,Premier_Walnut,en,Sat Mar 27 23:27:23 +0000 2010,Pacific Time (US & Canada),26,151,22
19512,2998747842,SheilajGarcia,en,Tue Jan 27 23:26:54 +0000 2015,,147,775,175
19561,330633276,BryanOpat,en,Wed Jul 06 22:35:32 +0000 2011,Pacific Time (US & Canada),131,303,656
19740,37829379,Danny_Bandit,en,Tue May 05 02:07:04 +0000 2009,Tijuana,347,452,1633
19767,3222426080,memoriarota,en,Thu May 21 15:49:37 +0000 2015,,55,352,151
19930,3290527574,MbStarter,en,Fri Jul 24 17:14:17 +0000 2015,Pacific Time (US & Canada),627,2409,65
20028,3401381481,howtolearnx,en,Mon Aug 03 15:39:09 +0000 2015,,382,2079,27
20063,328489659,kylebeingkyle,en,Sun Jul 03 13:35:11 +0000 2011,Eastern Time (US & Canada),32,75,47
20317,107205442,jccprimero,en,Thu Jan 21 21:08:13 +0000 2010,Pacific Time (US & Canada),277,1838,1054
20326,3346976920,dustinmcquillan,en,Fri Jun 26 21:08:36 +0000 2015,Eastern Time (US & Canada),76,320,43
20358,267500989,jonatlih,en,Thu Mar 17 01:52:44 +0000 2011,London,124,199,23
20384,170367813,faithmuyoyo,en,Sat Jul 24 16:58:01 +0000 2010,Central Time (US & Canada),81,528,868
20661,1143204614,Derex_Leung,en,Sat Feb 02 19:19:39 +0000 2013,Eastern Time (US & Canada),102,226,145
20769,490419658,arthurbatwala,en,Sun Feb 12 14:54:10 +0000 2012,,487,1942,523
20811,3403707155,soong_noonien,en,Wed Aug 05 04:14:25 +0000 2015,,46,515,31
20942,718634840,CurlyTemple_,en,Thu Jul 26 19:46:03 +0000 2012,Eastern Time (US & Canada),1471,1919,10623
21133,3273308918,AngelChow2015,en,Thu Jul 09 20:36:47 +0000 2015,,40,171,3616
21199,35464920,ahmedmallah,en,Sun Apr 26 13:33:52 +0000 2009,Riyadh,567,1992,2109
