,id_str,created_at,retweet_count,favorite_count,text
140,667668560483774464,Fri Nov 20 11:39:24 +0000 2015,0,0,"RT: @powerupwords @victorebube67 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
141,667652034892460033,Fri Nov 20 10:33:44 +0000 2015,0,0,"RT: @loveistrues @Riski_Hida @hzherpes is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
142,667635678440648705,Fri Nov 20 09:28:44 +0000 2015,0,0,"RT: @srb_sachin @NNqhgPuMLofXlk9 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
143,667619298806927360,Fri Nov 20 08:23:39 +0000 2015,0,0,"RT: @xTHExDOGFATHERx @nasirbako2 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
144,667603170672009216,Fri Nov 20 07:19:34 +0000 2015,0,0,"RT: @S__dot_ @tonystewart117 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
145,667586632539725824,Fri Nov 20 06:13:51 +0000 2015,1,1,"RT: @billyballhard is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
146,667553885628686336,Fri Nov 20 04:03:43 +0000 2015,0,0,"RT: @enrikeorion is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
147,667537960296820736,Fri Nov 20 03:00:26 +0000 2015,0,1,"RT: @Goldenrealtyhms is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
148,667537958472257537,Fri Nov 20 03:00:26 +0000 2015,0,0,"RT: @jyxyraqilat @_mme35 @DaveedOffixial is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
149,667504819205111810,Fri Nov 20 00:48:45 +0000 2015,0,0,"RT: @chief8055 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
150,667488498971119616,Thu Nov 19 23:43:54 +0000 2015,0,0,"RT: @1407xza @jelidomafatu @srkwzkl9cca is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
151,667472309796532224,Thu Nov 19 22:39:34 +0000 2015,0,0,"RT: @MsHClark is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
152,667455771903262720,Thu Nov 19 21:33:51 +0000 2015,0,0,"RT: @esm_villarreal @ODGnigeria is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
153,667439794608304129,Thu Nov 19 20:30:22 +0000 2015,1,1,"RT: @arrobaelcoleto is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1ptlAkh by @PhrasesFla, Please and Thanks!"
154,667439792418856961,Thu Nov 19 20:30:21 +0000 2015,0,0,"RT: @noshade__ @KathrynChapmP5 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1ptlAkh by @PhrasesFla, Please and Thanks!"
155,667423044575617025,Thu Nov 19 19:23:48 +0000 2015,0,0,"RT: @Yayodacartune @bwisealways7 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1ptlAkh by @PhrasesFla, Please and Thanks!"
156,667423042235158533,Thu Nov 19 19:23:48 +0000 2015,0,0,"RT: @CananDersim62 @alexpromotionz1 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1ptlAkh by @PhrasesFla, Please and Thanks!"
157,667407031020621824,Thu Nov 19 18:20:10 +0000 2015,0,0,"RT: @temmy_r2 is awesome! SHARE &amp; DROP a COMMENT on https://t.co/Pud1pt3YVH by @PhrasesFla, Please and Thanks!"
